Date,Open,High,Low,Close
15-12-2011,154.74,154.949997,151.710007,152.330002
16-12-2011,154.31,155.369995,153.899994,155.229996
19-12-2011,155.48,155.860001,154.360001,154.869995
20-12-2011,156.82,157.429993,156.580002,156.979996
21-12-2011,156.98,157.529999,156.130005,157.160004
22-12-2011,156.35,156.800003,155.330002,156.039993
23-12-2011,156.35,156.490005,155.820007,156.309998
27-12-2011,155.08,155.550003,154.539993,154.910004
28-12-2011,154.05,154.259995,150.660004,151.029999
29-12-2011,149.09,150.720001,148.270004,150.339996
30-12-2011,152.14,153.75,151.789993,151.990005
03-01-2012,154.76,156.300003,154.550003,155.919998
04-01-2012,155.43,157.380005,155.339996,156.710007
05-01-2012,155.37,158.029999,155.25,157.779999
06-01-2012,158.59,158.630005,156.380005,157.199997
09-01-2012,157.36,157.589996,156.190002,156.5
10-01-2012,158.97,159.470001,158.470001,158.639999
11-01-2012,159.34,160.050003,158.910004,159.669998
12-01-2012,161.02,161.619995,159.830002,160.380005
13-01-2012,159.32,159.589996,158.009995,159.259995
17-01-2012,161.17,161.649994,160.419998,160.5
18-01-2012,159.94,161.639999,159.679993,161.600006
19-01-2012,160.96,161.449997,160.330002,161.220001
20-01-2012,160.50,162.089996,160,162.070007
23-01-2012,162.32,163.470001,162.320007,163.160004
24-01-2012,161.81,162.369995,161.529999,162.009995
25-01-2012,161.07,166.550003,160.289993,166.419998
27-01-2012,167.44,169,167.410004,168.970001
30-01-2012,168.19,168.539993,167.740005,168.029999
31-01-2012,169.77,169.860001,167.720001,169.309998
01-02-2012,169.75,170.179993,169.080002,169.559998
02-02-2012,169.96,171.229996,169.679993,171.050003
03-02-2012,169.88,170.139999,167.509995,167.639999
06-02-2012,166.96,167.679993,166.610001,167.179993
07-02-2012,167.38,170.089996,167.149994,169.699997
08-02-2012,169.26,169.960007,167.5,168.5
09-02-2012,170.01,170.369995,167.669998,168.020004
10-02-2012,166.49,167.639999,166.330002,167.139999
13-02-2012,167.33,167.940002,166.740005,167.509995
14-02-2012,167.65,167.929993,166.419998,167.119995
15-02-2012,168.63,168.75,167.190002,168.110001
16-02-2012,166.33,168.139999,166.169998,168
17-02-2012,168.29,168.330002,166.869995,167.350006
21-02-2012,169.65,171.070007,169.589996,171.020004
22-02-2012,170.40,173.169998,170.190002,172.940002
23-02-2012,172.69,173.770004,172.279999,173.020004
24-02-2012,172.63,173.039993,172,172.229996
27-02-2012,172.14,172.919998,171.580002,171.699997
28-02-2012,172.84,174,172.600006,173.490005
29-02-2012,173.19,173.589996,164,164.289993
01-03-2012,166.10,167.720001,165.75,166.610001
02-03-2012,166.23,166.830002,165.630005,166.339996
05-03-2012,165.77,165.910004,164.550003,165.649994
06-03-2012,162.15,162.809998,161.779999,162.699997
07-03-2012,162.76,164.020004,162.509995,163.630005
08-03-2012,164.74,165.550003,164.050003,165.279999
09-03-2012,163.64,166.570007,163.25,166.380005
12-03-2012,165.33,165.580002,164.399994,165.070007
13-03-2012,163.94,165.410004,161.429993,162.300003
14-03-2012,159.61,160.580002,158.800003,159.570007
15-03-2012,159.73,161.979996,159.279999,161.080002
16-03-2012,160.08,161.539993,159.919998,161.300003
19-03-2012,160.85,162.300003,160.720001,161.589996
20-03-2012,160.20,161.080002,159.770004,160.130005
