Date,India,Aus,SA
31-01-1979,1840.8,197.2,194.5
28-02-1979,2011.7,219.6,209.4
30-03-1979,1940.2,214.6,202.4
30-04-1979,2013.1,221.1,206.9
31-05-1979,2253.4,250.7,233.7
29-06-1979,2190.6,245.5,232.3
31-07-1979,2354.1,262.8,248.8
31-08-1979,2527.7,281.6,265.4
28-09-1979,3190.3,351.7,327.2
31-10-1979,3142.6,346.9,315.5
30-11-1979,3310.3,381.4,345.7
31-12-1979,4189.6,474.3,434.1
31-01-1980,5329.6,603.8,546.1
29-02-1980,5138.1,583.7,516.8
31-03-1980,4155.4,465.2,407.5
30-04-1980,4155.2,465.2,415.1
30-05-1980,4152.3,463.6,416.2
30-06-1980,5150.4,573.4,509.8
31-07-1980,4813.2,537,471.5
29-08-1980,4903.6,543.8,479.8
30-09-1980,5211.3,572.1,504.8
31-10-1980,4911.2,542.2,477.2
28-11-1980,4871.9,533.9,466.6
31-12-1980,4620.3,499.4,439.1
30-01-1981,4123.2,435.7,385.6
27-02-1981,4082.9,424.2,383.8
31-03-1981,4240.5,440.1,410.8
30-04-1981,3998.5,418.9,394.2
29-05-1981,4046.5,420.2,405.4
30-06-1981,3703.8,366.7,373.6
31-07-1981,3655.1,357,386.3
31-08-1981,3820.1,370.6,401.9
30-09-1981,3870.4,372.6,407.2
30-10-1981,3876.4,374.6,413.3
30-11-1981,3815,361,399.1
31-12-1981,3625.1,355,383.1
29-01-1982,3546,356.5,377.4
26-02-1982,3373.9,338.3,355.9
31-03-1982,2987.6,305.7,338
30-04-1982,3322.1,335.8,372.5
31-05-1982,3072.3,310.1,351.6
30-06-1982,2971.9,306.4,354.9
30-07-1982,3265.4,344.8,393.1
31-08-1982,3933.3,422.7,469.3
30-09-1982,3824.8,415.7,456.2
29-10-1982,4108.4,450.6,493.8
30-11-1982,4127.6,448.8,473.4
31-12-1982,4320,456.8,482.6
31-01-1983,5003.5,519.9,540.4
28-02-1983,4197,440.2,456.8
31-03-1983,4104.3,477,453.9
29-04-1983,4286.4,494,467.5
31-05-1983,4391.8,497.7,471.2
30-06-1983,4183.6,476.1,456.9
29-07-1983,4291,479.9,464.6
31-08-1983,4219.7,471.9,466.5
30-09-1983,4123.3,450.2,445.6
31-10-1983,3923.5,419,448.3
30-11-1983,4218.6,442.5,482.2
30-12-1983,3995,424.3,466.4
31-01-1984,4002.4,405.3,471.7
29-02-1984,4220.1,420,475.2
30-03-1984,4169.1,415.2,480.1
30-04-1984,4094.2,409.2,472.1
31-05-1984,4218.3,426.4,490.7
29-06-1984,4178.2,435.1,508.4
